student_id__email,student_id__first_name,student_id__last_name,current_semester,year,roll_no,dept
john.student@mock.edu,John,Student,1,1,10001,Computer Science
alice.student@mock.edu,Alice,Student,1,1,10002,Computer Science
bob.student@mock.edu,Bob,Student,1,1,10003,Computer Science
charlie.student@mock.edu,Charlie,Student,1,1,10004,Computer Science
dave.student@mock.edu,Dave,Student,1,1,10005,Computer Science
emma.student@mock.edu,Emma,Student,3,2,10006,Computer Science
frank.student@mock.edu,Frank,Student,3,2,10007,Computer Science
grace.student@mock.edu,Grace,Student,3,2,10008,Computer Science
henry.student@mock.edu,Henry,Student,3,2,10009,Computer Science
isabel.student@mock.edu,Isabel,Student,3,2,10010,Computer Science
jack.student@mock.edu,Jack,Student,5,3,10011,Computer Science
karen.student@mock.edu,Karen,Student,5,3,10012,Computer Science
liam.student@mock.edu,Liam,Student,5,3,10013,Computer Science
mia.student@mock.edu,Mia,Student,5,3,10014,Computer Science
noah.student@mock.edu,Noah,Student,5,3,10015,Computer Science
olivia.student@mock.edu,Olivia,Student,7,4,10016,Computer Science
peter.student@mock.edu,Peter,Student,7,4,10017,Computer Science
quinn.student@mock.edu,Quinn,Student,7,4,10018,Computer Science
ryan.student@mock.edu,Ryan,Student,7,4,10019,Computer Science
sophia.student@mock.edu,Sophia,Student,7,4,10020,Computer Science
thomas.student@mock.edu,Thomas,Student,1,1,20001,Electrical Engineering
ursula.student@mock.edu,Ursula,Student,1,1,20002,Electrical Engineering
victor.student@mock.edu,Victor,Student,1,1,20003,Electrical Engineering
wendy.student@mock.edu,Wendy,Student,1,1,20004,Electrical Engineering
xavier.student@mock.edu,Xavier,Student,1,1,20005,Electrical Engineering
yara.student@mock.edu,Yara,Student,3,2,20006,Electrical Engineering
zack.student@mock.edu,Zack,Student,3,2,20007,Electrical Engineering
amy.student@mock.edu,Amy,Student,3,2,20008,Electrical Engineering
ben.student@mock.edu,Ben,Student,3,2,20009,Electrical Engineering
chloe.student@mock.edu,Chloe,Student,3,2,20010,Electrical Engineering
daniel.student@mock.edu,Daniel,Student,5,3,20011,Electrical Engineering
ella.student@mock.edu,Ella,Student,5,3,20012,Electrical Engineering
finn.student@mock.edu,Finn,Student,5,3,20013,Electrical Engineering
gina.student@mock.edu,Gina,Student,5,3,20014,Electrical Engineering
harry.student@mock.edu,Harry,Student,5,3,20015,Electrical Engineering
iris.student@mock.edu,Iris,Student,7,4,20016,Electrical Engineering
james.student@mock.edu,James,Student,7,4,20017,Electrical Engineering
kate.student@mock.edu,Kate,Student,7,4,20018,Electrical Engineering
leo.student@mock.edu,Leo,Student,7,4,20019,Electrical Engineering
maya.student@mock.edu,Maya,Student,7,4,20020,Electrical Engineering
nathan.student@mock.edu,Nathan,Student,1,1,30001,Mechanical Engineering
oscar.student@mock.edu,Oscar,Student,1,1,30002,Mechanical Engineering
penny.student@mock.edu,Penny,Student,1,1,30003,Mechanical Engineering
quentin.student@mock.edu,Quentin,Student,1,1,30004,Mechanical Engineering
ruby.student@mock.edu,Ruby,Student,1,1,30005,Mechanical Engineering
sam.student@mock.edu,Sam,Student,3,2,30006,Mechanical Engineering
tina.student@mock.edu,Tina,Student,3,2,30007,Mechanical Engineering
uma.student@mock.edu,Uma,Student,3,2,30008,Mechanical Engineering
vince.student@mock.edu,Vince,Student,3,2,30009,Mechanical Engineering
willow.student@mock.edu,Willow,Student,3,2,30010,Mechanical Engineering
xander.student@mock.edu,Xander,Student,5,3,30011,Mechanical Engineering
yasmin.student@mock.edu,Yasmin,Student,5,3,30012,Mechanical Engineering
zane.student@mock.edu,Zane,Student,5,3,30013,Mechanical Engineering
adam.student@mock.edu,Adam,Student,5,3,30014,Mechanical Engineering
bella.student@mock.edu,Bella,Student,5,3,30015,Mechanical Engineering
carl.student@mock.edu,Carl,Student,7,4,30016,Mechanical Engineering
diane.student@mock.edu,Diane,Student,7,4,30017,Mechanical Engineering
ethan.student@mock.edu,Ethan,Student,7,4,30018,Mechanical Engineering
fiona.student@mock.edu,Fiona,Student,7,4,30019,Mechanical Engineering
george.student@mock.edu,George,Student,7,4,30020,Mechanical Engineering 
